Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,Mushroom based dishes,0.32,0.307,0.307,0.307,0.27,0.32,0.27
Composite dishes,Mushroom salad,0.29,0.2,0.175,0.2,0.2,0.29,0.175
Composite dishes,Mushroom soup,0.13,0.074,0.066,0.05,,0.08,0.05
Composite dishes,Omelette with bacon,0.268,0.29,0.268,0.29,0.29,0.268,0.268
Composite dishes,Omelette with mushrooms,0.297,0.36,0.297,0.36,0.36,0.297,0.297
Composite dishes,Omelette with vegetables,0.32,0.32,0.21,0.32,0.15,,0.15
Composite dishes,"Omelette, plain",0.36,0.342,0.287,0.342,0.33,0.36,0.33
Composite dishes,Onion soup,0.03,0.01,0.002,0.01,,0.02,
Composite dishes,Paella,0.07,0.164,0.085,0.164,0.164,0.07,0.085
Composite dishes,Pasta based dishes (cooked),0.14,0.058,0.058,0.058,0.058,0.14,0.058
Composite dishes,"Pasta based dishes (cooked), PROCESS Baking",,0.13,0.13,0.13,0.13,,0.13
Composite dishes,"Pasta based dishes (cooked), PROCESS Cooking in water",0.06,0.06,0.06,0.06,0.06,0.06,0.06
Composite dishes,"Pasta based dishes (cooked), PROCESS Steaming",0.06,0.06,0.06,0.06,0.06,0.06,0.06
Composite dishes,"Pasta-based dishes, uncooked",0.14,0.14,0.14,0.14,0.14,0.14,0.14
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Baking",0.055,0.055,0.055,0.055,0.055,0.055,0.055
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Cooking in water",0.09,0.13,0.058,0.13,0.08,0.09,0.06
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Steaming",0.09,0.058,0.058,0.058,0.08,0.09,0.06
Composite dishes,"Pasta, cooked, with cheese/cream",,0.08,0.101,0.08,0.08,0.101,0.101
Composite dishes,"Pasta, cooked, with vegetables",,0.02,0.056,0.02,0.02,,0.056
Composite dishes,"Pasta, cooked, with vegetables and cheese/cream",0.027,0.027,0.027,0.027,0.027,0.027,0.027
Composite dishes,"Pasta, filled with meat mix, cooked",0.14,0.14,0.14,0.14,0.14,0.14,0.14
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Baking",0.055,0.055,0.055,0.055,0.055,0.055,0.055
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",0.05,0.058,0.058,0.058,0.08,0.03,0.08
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Steaming",0.058,0.058,0.058,0.058,0.08,0.058,0.08
Composite dishes,"Pasta, filled with vegetable mix, cooked",0.15,0.15,0.15,0.15,0.15,0.15,0.15
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",0.12,0.06,0.06,0.06,0.08,,0.06
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",0.06,0.06,0.06,0.06,0.08,0.06,0.06
Composite dishes,Pastas and rice (or other cereal) –based dishes,0.066,0.066,0.066,0.066,0.066,0.066,0.066
Composite dishes,"Pastas and rice (or other cereal) –based dishes, PROCESS Baking",0.12,0.12,0.12,,0.12,0.12,0.12
Composite dishes,"Pastas and rice (or other cereal) –based dishes, PROCESS Cooking in water",0.02,0.02,0.02,,0.02,0.02,0.02
Composite dishes,"Pastas and rice (or other cereal) –based dishes, PROCESS Steaming",0.07,0.07,0.07,,0.07,0.07,0.07
Composite dishes,Pizza and similar with cheese topping,,0.14,0.149,0.14,0.11,,0.09
Composite dishes,"Pizza and similar with cheese, and mushrooms",,0.167,0.167,0.167,0.11,,0.11
Composite dishes,"Pizza and similar with cheese, and vegetables",,0.057,0.057,0.057,0.11,,0.11
Composite dishes,"Pizza and similar with cheese, meat, and mushrooms",,,0.132,,0.09,,0.09
Composite dishes,"Pizza and similar with cheese, meat, and vegetables",,0.18,0.079,0.18,0.09,0.14,0.16
Composite dishes,"Pizza and similar with meat, and vegetables",0.14,0.132,0.132,0.132,0.09,0.14,0.09
Composite dishes,Poached eggs,0.324,0.48,0.324,0.48,0.36,0.324,0.36
Composite dishes,Pork meat loaf,0.239,0.239,0.239,0.239,0.239,0.239,0.239
Composite dishes,Potato casserole,0.09,0.07,0.07,0.07,0.09,0.09,0.09
Composite dishes,Potato croquettes,0.05,0.07,0.045,0.07,0.08,0.05,0.08
Composite dishes,Potato soup,0.06,0.01,0.003,0.01,0.05,0.06,0.05
Composite dishes,Potatoes and cheese meal,0.07,0.11,0.068,0.11,0.11,,0.11
