Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Steaming",0.03,0.03,0.03,0.03,0.14,0.03,0.14
Composite dishes,"Pasta, filled with vegetable mix, cooked",0.182,0.182,0.182,0.182,0.182,0.182,0.182
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",0.1458,0.45,0.45,0.45,0.14,,0.45
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",0.45,0.45,0.45,0.45,0.14,0.45,0.45
Composite dishes,Pastas and rice (or other cereal) –based dishes,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Composite dishes,Pizza and similar with cheese topping,,,0.336,,0.08,,0.09
Composite dishes,"Pizza and similar with cheese, and mushrooms",,0.105,0.105,0.105,0.08,,0.08
Composite dishes,"Pizza and similar with cheese, and vegetables",,0.064,0.064,0.064,0.08,,0.11
Composite dishes,"Pizza and similar with cheese, meat, and mushrooms",,,0.109,,0.08,,0.08
Composite dishes,"Pizza and similar with cheese, meat, and vegetables",,0.05,0.113,0.05,0.08,0.077,0.1
Composite dishes,"Pizza and similar with meat, and vegetables",0.077,0.109,0.109,0.109,0.08,0.077,0.08
Composite dishes,Poached eggs,0.062,0.069,0.062,0.069,0.08,0.062,0.08
Composite dishes,Pork meat loaf,0.133,0.133,0.133,0.133,0.133,0.133,0.133
Composite dishes,Potato casserole,0.0977,0.085,0.085,0.085,0.06,0.0977,0.06
Composite dishes,Potato croquettes,0.1328,0.08,0.088,0.08,0.08,0.1328,0.08
Composite dishes,Potato soup,0.042,0.01,0.036,0.01,0.02,0.042,0.02
Composite dishes,Potatoes and cheese meal,0.2839,0.044,0.105,0.044,0.06,,0.06
Composite dishes,Potatoes and meat meal,0.0695,0.052,0.083,0.052,0.06,0.0695,0.06
Composite dishes,Potatoes and vegetables meal,0.0366,0.091,0.091,0.091,0.04,0.0366,0.04
Composite dishes,"Potatoes, meat, and vegetables meal",0.0526,0.096,0.096,0.096,0.06,0.0526,0.06
Composite dishes,Prepared fish salad,,0.1,0.015,0.1,0.2,,0.2
Composite dishes,Prepared legume (beans) salad,,,0.055,,0.07,,0.07
Composite dishes,Prepared meat salad,0.0561,,0.06,,0.07,,0.07
Composite dishes,Prepared mixed egg/meat/fish/vegetable salad,,0.072,0.072,0.072,0.072,,0.072
Composite dishes,Prepared nut salad,0.0922,0.091,0.091,0.091,0.18,0.0922,0.18
Composite dishes,Prepared pasta salad,0.0669,0.091,0.065,0.091,0.091,,0.065
Composite dishes,Prepared potato salad,0.0879,0.118,0.089,0.118,0.07,0.0879,0.05
Composite dishes,Prepared rice salad,0.0956,0.2,0.387,0.2,0.2,0.0956,0.387
Composite dishes,Quiche,0.176,0.051,0.176,0.051,0.05,0.176,0.07
Composite dishes,Ratatouille,0.0355,0.068,0.072,0.068,0.02,,0.02
Composite dishes,Rice and meat meal,,0.536,0.536,0.536,0.1,,0.13
Composite dishes,Rice and vegetables meal,,0.307,0.307,0.307,0.1,,0.3
Composite dishes,"Rice based dishes cooked, PROCESS Cooking in water",,0.2,0.2,0.2,0.2,,0.2
Composite dishes,"Rice based dishes cooked, PROCESS Steaming",,0.1,0.1,0.1,0.1,,0.1
Composite dishes,Rice pudding,0.0297,0.1,0.037,0.1,0.13,,0.13
Composite dishes,"Rice, meat, and vegetables meal",,0.1,0.523,0.1,0.1,,0.1
Composite dishes,Risotto,0.0614,0.042,0.042,0.042,0.12,0.0614,0.12
Composite dishes,Roesti,0.1132,0.214,0.088,0.214,0.214,,0.214
Composite dishes,Sandwich and sandwich-like dishes,0.1,0.119,0.1,0.119,0.119,0.1,0.1
Composite dishes,Sandwich with cheese and vegetable topping/filling,0.0872,0.202,0.202,0.202,0.202,0.0872,0.202
Composite dishes,Sandwich with cheese topping/filling,0.5149,0.091,0.096,0.091,0.08,0.5149,0.08
Composite dishes,Sandwich with fish and vegetable topping/filling,0.105,0.087,0.105,0.087,0.087,0.105,0.105
Composite dishes,Sandwich with fish topping/filling,,0.087,0.105,0.087,0.09,,0.09
Composite dishes,Sandwich with meat and vegetable topping/filling,0.0926,0.083,0.136,0.083,0.08,0.0926,0.08
Composite dishes,Sandwich with processed meat topping/filling,0.0851,0.076,0.1,0.076,0.1,0.0851,0.1
Composite dishes,Sausage roll,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Composite dishes,Seafood salad,0.144,0.332,0.332,0.332,0.2,,0.36
